"This is a required field.","Dies ist ein Pflichtfeld."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Vielen Dank für Ihre Kontaktaufnahme mit Ihren Kommentaren und Fragen. Wir werden Ihnen bald antworten."
"Please type the letters and numbers below","Bitte geben Sie die folgenden Buchstaben und Zahlen ein"
"Jot us a note and we’ll get back to you as quickly as possible.","Schreiben Sie uns eine Nachricht und wir werden uns schnellstmöglich bei Ihnen melden."
"What’s on your mind?","Was haben Sie auf dem Herzen?"
"Contact","Kontakt"
"Please enter a valid email address (Ex: johndoe@domain.com).","Bitte geben Sie eine gültige E-Mail-Adresse ein (z.B: johndoe@domain.com)."
"You are signed out","Sie haben sich ausgeloggt"
"You have signed out and will go to our homepage in 5 seconds.","Sie wurden ausgeloggt und werden in 5 Sekunden auf unsere Homepage geleitet."
"Forgot Your Password","Passwort vergessen"
"Please enter your email address below to receive a password reset link.","Bitte geben Sie unten Ihre E-Mail-Adresse ein, um einen Link für die Zurücksetzung des Passworts zu erhalten."
"Street Address %1","Adresszusatz"
"Street Address","Straße und Hausnummer"
"Account Information","Kontoinformationen"
"Change Email","E-Mail-Adresse ändern"
"Product details","Artikeldetails"
"Qty","Anzahl"
"Required Fields","Pflichtfelder"
"If you have an account, sign in with your email address.","Wenn Sie ein Konto haben, melden Sie sich mit Ihrer E-Mail-Adresse an."
"Add to Wish List","Auf den Merkzettel"
"Load more ...","mehr laden ..."
"More from the collection","Weiteres aus der Kollektion"
"Other customers also brought","Andere Kunden kauften auch"
"keyword","Suchbegriff"
"My Account","Mein Dashboard"
"You aren't subscribed to our newsletter.","Sie sind nicht für unseren Newsletter angemeldet."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Ein Konto zu erstellen hat viele Vorteile: schneller zur Kasse gehen, mehr als eine Adresse speichern, Bestellungen verfolgen und mehr."
"My Wishlist","Mein Wunschzettel"
"Go to Product","Zum Produkt"
"Go to Wish List","zum Wunschzettel gehen"
"Wish List Sharing","Wunschzettel teilen"
"Sharing Information","informationen zum teilen"
"Email addresses, separated by commas","E-Mail-Adressen, durch Komma getrennt"
"Share Wish List","Wunschzettel teilen"
"*Required Fields","* Pflichtfelder"
"Save Address","Adresse hinzufügen"
"Apply Discount Code","Rabattcode anwenden"
"Enter discount code","Rabattcode eingeben"
"Estimate Shipping and Tax","Geschätzte Steuern und Versandgebühren"
"Shipment","Versandpauschale"
"Shipping","Versandpauschale"
"Order overview","Bestellübersicht"
"Please enter your details below to complete your purchase.","Bitte geben Sie unten Ihre Daten ein, um Ihren Einkauf abzuschließen."
